file,character,setup,t,level,damage,crit,glancing,ap,gain,capped
siax_uw_dw_092326.txt,Siax,dual_wield,39387.365,15,51,False,False,483,62,False
siax_uw_dw_092326.txt,Siax,dual_wield,39388.585,15,15,False,False,483,23,False
siax_uw_dw_092326.txt,Siax,dual_wield,39389.102,15,48,False,False,483,62,False
siax_uw_dw_092326.txt,Siax,dual_wield,39398.034,15,17,False,False,483,22,False
siax_uw_dw_092326.txt,Siax,dual_wield,39399.403,15,17,False,False,483,22,False
siax_uw_dw_092326.txt,Siax,dual_wield,39400.688,15,15,False,False,483,22,False
siax_uw_dw_092326.txt,Siax,dual_wield,39402.006,15,15,False,False,483,23,False
siax_uw_dw_092326.txt,Siax,dual_wield,39410.787,15,16,False,False,483,23,False
siax_uw_dw_092326.txt,Siax,dual_wield,39412.105,15,17,False,False,483,22,False
siax_uw_dw_092326.txt,Siax,dual_wield,39412.39,15,91,True,False,483,63,False
siax_uw_dw_092326.txt,Siax,dual_wield,39413.356,15,14,False,False,483,22,False
siax_uw_dw_092326.txt,Siax,dual_wield,39414.674,15,14,False,False,483,23,False
siax_uw_dw_092326.txt,Siax,dual_wield,39416.009,15,32,True,False,483,22,False
siax_uw_dw_092326.txt,Siax,dual_wield,39420.193,15,49,False,False,483,62,False
siax_uw_dw_092326.txt,Siax,dual_wield,39420.359,15,16,False,False,483,22,False
siax_uw_dw_092326.txt,Siax,dual_wield,39421.561,15,16,False,False,483,23,False
siax_uw_dw_092326.txt,Siax,dual_wield,39422.945,15,16,False,False,483,23,False
siax_uw_dw_092326.txt,Siax,dual_wield,39423.765,15,47,False,False,483,62,False
siax_uw_dw_092326.txt,Siax,dual_wield,39425.565,15,87,True,False,483,62,False
siax_uw_dw_092326.txt,Siax,dual_wield,39426.816,15,15,False,False,483,22,False
siax_uw_dw_092326.txt,Siax,dual_wield,39440.932,15,14,False,False,483,22,False
siax_uw_dw_092326.txt,Siax,dual_wield,39442.3,15,14,False,False,483,23,False
siax_uw_dw_092326.txt,Siax,dual_wield,39442.667,15,86,True,False,483,62,False
siax_uw_dw_092326.txt,Siax,dual_wield,39443.552,15,14,False,False,483,22,False
siax_uw_dw_092326.txt,Siax,dual_wield,39444.369,15,54,False,False,483,62,False
siax_uw_dw_092326.txt,Siax,dual_wield,39446.237,15,13,False,False,483,22,False
siax_uw_dw_092326.txt,Siax,dual_wield,39446.238,15,52,False,False,483,62,False
siax_uw_dw_092326.txt,Siax,dual_wield,39447.455,15,13,False,False,483,22,False
siax_uw_dw_092326.txt,Siax,dual_wield,39448.056,15,46,False,False,483,62,False
siax_uw_dw_092326.txt,Siax,dual_wield,39466.399,15,84,True,False,483,62,False
siax_uw_dw_092326.txt,Siax,dual_wield,39466.916,15,30,True,False,483,22,False
siax_uw_dw_092326.txt,Siax,dual_wield,39468.217,15,14,False,False,483,23,False
siax_uw_dw_092326.txt,Siax,dual_wield,39468.218,15,85,True,False,483,62,False
siax_uw_dw_092326.txt,Siax,dual_wield,39470.035,15,53,False,False,483,62,False
siax_uw_dw_092326.txt,Siax,dual_wield,39470.803,15,14,False,False,483,22,False
siax_uw_dw_092326.txt,Siax,dual_wield,39471.787,15,49,False,False,483,63,False
siax_uw_dw_092326.txt,Siax,dual_wield,39476.095,15,16,False,False,483,22,False
siax_uw_dw_092326.txt,Siax,dual_wield,39477.446,15,14,False,False,483,22,False
siax_uw_dw_092326.txt,Siax,dual_wield,39477.731,15,44,False,False,483,62,False
siax_uw_dw_092326.txt,Siax,dual_wield,39480.016,15,14,False,False,483,22,False
siax_uw_dw_092326.txt,Siax,dual_wield,39480.116,15,42,False,False,483,7,True
siax_uw_dw_092326.txt,Siax,dual_wield,39481.35,15,15,False,False,483,0,True
siax_uw_dw_092326.txt,Siax,dual_wield,39481.917,15,50,False,False,483,0,True
siax_uw_dw_092326.txt,Siax,dual_wield,39482.584,15,14,False,False,483,0,True
siax_uw_dw_092326.txt,Siax,dual_wield,39485.507,15,47,False,False,483,63,False
siax_uw_dw_092326.txt,Siax,dual_wield,39548.248,15,45,False,False,483,63,False
siax_uw_dw_092326.txt,Siax,dual_wield,39548.414,15,31,True,False,483,23,False
siax_uw_dw_092326.txt,Siax,dual_wield,39549.716,15,32,True,False,483,22,False
siax_uw_dw_092326.txt,Siax,dual_wield,39550.049,15,46,False,False,483,63,False
siax_uw_dw_092326.txt,Siax,dual_wield,39551.868,15,54,False,False,483,62,False
siax_uw_dw_092326.txt,Siax,dual_wield,39552.269,15,29,True,False,483,22,False
siax_uw_dw_092326.txt,Siax,dual_wield,39553.636,15,32,True,False,483,23,False
siax_uw_dw_092326.txt,Siax,dual_wield,39553.637,15,48,False,False,483,63,False
siax_uw_dw_092326.txt,Siax,dual_wield,39756.608,15,105,True,False,460,63,False
siax_uw_dw_092326.txt,Siax,dual_wield,39756.808,15,14,False,False,460,23,False
siax_uw_dw_092326.txt,Siax,dual_wield,39758.109,15,15,False,False,460,23,False
siax_uw_dw_092326.txt,Siax,dual_wield,39758.46,15,51,False,False,460,63,False
siax_uw_dw_092326.txt,Siax,dual_wield,39759.327,15,15,False,False,460,23,False
siax_uw_dw_092326.txt,Siax,dual_wield,39760.195,15,102,True,False,460,63,False
siax_uw_dw_092326.txt,Siax,dual_wield,39760.696,15,28,True,False,460,23,False
siax_uw_dw_092326.txt,Siax,dual_wield,39782.738,15,51,False,False,460,62,False
siax_uw_dw_092326.txt,Siax,dual_wield,39782.94,15,14,False,False,460,23,False
siax_uw_dw_092326.txt,Siax,dual_wield,39800.921,15,49,False,False,483,62,False
siax_uw_dw_092326.txt,Siax,dual_wield,39801.939,15,29,True,False,483,22,False
siax_uw_dw_092326.txt,Siax,dual_wield,39803.257,15,14,False,False,483,22,False
siax_uw_dw_092326.txt,Siax,dual_wield,39803.891,15,52,False,False,483,62,False
siax_uw_dw_092326.txt,Siax,dual_wield,39804.558,15,16,False,False,483,22,False
siax_uw_dw_092326.txt,Siax,dual_wield,39805.693,15,103,True,False,483,63,False
siax_uw_dw_092326.txt,Siax,dual_wield,39805.843,15,17,False,False,483,22,False
siax_uw_dw_092326.txt,Siax,dual_wield,39807.395,15,45,False,False,483,62,False
siax_uw_dw_092326.txt,Siax,dual_wield,39812.066,15,15,False,False,483,22,False
siax_uw_dw_092326.txt,Siax,dual_wield,39818.303,15,17,False,False,483,22,False
siax_uw_dw_092326.txt,Siax,dual_wield,39819.604,15,16,False,False,483,22,False
siax_uw_dw_092326.txt,Siax,dual_wield,39822.741,15,15,False,False,483,23,False
siax_uw_dw_092326.txt,Siax,dual_wield,39823.575,15,47,False,False,483,62,False
siax_uw_dw_092326.txt,Siax,dual_wield,39824.042,15,14,False,False,483,22,False
siax_uw_dw_092326.txt,Siax,dual_wield,39826.828,15,102,True,False,483,62,False
siax_uw_dw_092326.txt,Siax,dual_wield,39828.671,15,43,False,False,483,4,True
siax_uw_dw_092326.txt,Siax,dual_wield,39829.171,15,17,False,False,483,0,True
siax_uw_dw_092326.txt,Siax,dual_wield,39829.838,15,50,False,False,483,0,True
siax_uw_dw_092326.txt,Siax,dual_wield,39831.606,15,51,False,False,483,0,True
siax_uw_dw_092326.txt,Siax,dual_wield,39831.84,15,15,False,False,483,0,True
siax_uw_dw_092326.txt,Siax,dual_wield,39833.425,15,47,False,False,483,0,True
siax_uw_dw_092326.txt,Siax,dual_wield,39834.442,15,16,False,False,483,0,True
siax_uw_dw_092326.txt,Siax,dual_wield,39835.744,15,17,False,False,483,0,True
siax_uw_dw_092326.txt,Siax,dual_wield,39838.794,15,52,False,False,483,0,True
siax_uw_dw_092326.txt,Siax,dual_wield,39839.595,15,17,False,False,483,0,True
siax_uw_dw_092326.txt,Siax,dual_wield,39840.642,15,53,False,False,483,0,True
siax_uw_dw_092326.txt,Siax,dual_wield,39848.09,15,14,False,False,483,14,True
siax_uw_dw_092326.txt,Siax,dual_wield,39849.308,15,15,False,False,483,0,True
siax_uw_dw_092326.txt,Siax,dual_wield,39849.693,15,52,False,False,483,0,True
siax_uw_dw_092326.txt,Siax,dual_wield,39850.642,15,14,False,False,483,0,True
siax_uw_dw_092326.txt,Siax,dual_wield,39851.543,15,49,False,False,483,0,True
siax_uw_dw_092326.txt,Siax,dual_wield,39852.01,15,16,False,False,483,0,True
siax_uw_dw_092326.txt,Siax,dual_wield,39853.295,15,16,False,False,483,0,True
siax_uw_dw_092326.txt,Siax,dual_wield,39854.546,15,30,True,False,483,0,True
siax_uw_dw_092326.txt,Siax,dual_wield,39855.113,15,98,True,False,483,0,True
siax_uw_dw_092326.txt,Siax,dual_wield,39872.785,15,15,False,False,483,22,False
siax_uw_dw_092326.txt,Siax,dual_wield,39873.537,15,44,False,False,483,62,False
