9/23/2026 20:35:26.428-5  COMBAT_LOG_VERSION,22,ADVANCED_LOG_ENABLED,1,BUILD_VERSION,1.60.1,PROJECT_ID,18
9/23/2026 20:45:24.957-5  SWING_DAMAGE_LANDED,Creature-0-6783-0-8995-1417-0000B48076,"Young Wetlands Crocolisk",0xa48,0x80000000,Player-4613-00AF5B80,"Reggie-ClassicBetaPvP2-",0x518,0x80000000,Player-4613-00AF5B80,0000000000000000,285,861,533,0,1079,0,0,0,0,34,657,0,-4079.82,-3012.94,1437,0.5288,14,29,43,-1,1,0,0,0,nil,nil,nil
9/23/2026 20:45:24.957-5  DAMAGE_SHIELD,Player-4613-00AF5B80,"Reggie-ClassicBetaPvP2-",0x518,0x80000000,Creature-0-6783-0-8995-1417-0000B48076,"Young Wetlands Crocolisk",0xa48,0x80000000,7294,"Retribution Aura",0x2,Creature-0-6783-0-8995-1417-0000B48076,0000000000000000,153,691,74,0,897,0,0,0,1,0,0,0,-4078.42,-3011.80,1437,5.4148,21,12,12,-1,2,0,0,0,nil,nil,nil,AOE
9/23/2026 20:45:25.074-5  SPELL_AURA_REFRESH,Player-4613-00848667,"Tyrone-ClassicBetaPvP2-",0x518,0x80000000,Creature-0-6783-0-8995-1008-000034809A,"Mosshide Mongrel",0xa48,0x80000000,7322,"Frostbolt",0x10,DEBUFF
9/23/2026 20:45:25.074-5  SPELL_DAMAGE,Player-4613-00848667,"Tyrone-ClassicBetaPvP2-",0x518,0x80000000,Creature-0-6783-0-8995-1008-000034809A,"Mosshide Mongrel",0xa48,0x80000000,7322,"Frostbolt",0x10,Creature-0-6783-0-8995-1008-000034809A,0000000000000000,587,746,78,0,932,0,0,0,1,0,0,0,-3891.31,-3041.20,1437,4.7124,22,78,78,-1,16,0,0,0,nil,nil,nil,ST
9/23/2026 20:45:25.074-5  SPELL_PERIODIC_DAMAGE,Player-4619-0067141E,"Tarch-ClassicBetaPvP-",0x511,0x80000000,Creature-0-6783-0-8995-1417-0000348087,"Young Wetlands Crocolisk",0x10a48,0x80000000,6547,"Rend",0x1,Creature-0-6783-0-8995-1417-0000348087,0000000000000000,488,691,74,0,897,0,0,0,1,0,0,0,-3972.76,-3019.73,1437,3.1416,21,14,14,-1,1,0,0,0,nil,nil,nil,ST
9/23/2026 20:45:25.190-5  SWING_DAMAGE,Creature-0-6783-0-8995-1417-0000348087,"Young Wetlands Crocolisk",0x10a48,0x80000000,Player-4619-0067141E,"Tarch-ClassicBetaPvP-",0x511,0x80000000,Creature-0-6783-0-8995-1417-0000348087,0000000000000000,488,691,74,0,897,0,0,0,1,0,0,0,-3973.62,-3019.87,1437,3.2578,21,23,36,-1,1,0,0,0,nil,nil,nil
9/23/2026 20:45:25.190-5  SWING_DAMAGE_LANDED,Creature-0-6783-0-8995-1417-0000348087,"Young Wetlands Crocolisk",0x10a48,0x80000000,Player-4619-0067141E,"Tarch-ClassicBetaPvP-",0x511,0x80000000,Player-4619-0067141E,0000000000000000,797,939,532,0,1185,0,0,0,1,383,1000,0,-3976.05,-3020.16,1437,0.0813,12,23,36,-1,1,0,0,0,nil,nil,nil
9/23/2026 20:45:25.190-5  SPELL_ABSORBED,Creature-0-6783-0-8995-1010-0000347DD3,"Mosshide Fenrunner",0xa28,0x80000000,Player-4613-0096FAE3,"Shuiest-ClassicBetaPvP2-",0x518,0x80000000,Player-4613-0096FAE3,"Shuiest-ClassicBetaPvP2-",0x518,0x80000000,600,"Power Word: Shield",0x2,29,38,nil
9/23/2026 20:45:25.190-5  SWING_DAMAGE_LANDED,Creature-0-6783-0-8995-1010-0000347DD3,"Mosshide Fenrunner",0xa28,0x80000000,Player-4613-0096FAE3,"Shuiest-ClassicBetaPvP2-",0x518,0x80000000,Player-4613-0096FAE3,0000000000000000,717,717,191,46,802,0,0,53,0,948,1252,0,-3817.72,-2994.70,1437,4.7482,19,0,38,-1,1,0,0,29,nil,nil,nil
9/23/2026 20:45:25.240-5  SPELL_CAST_FAILED,Player-4619-0067141E,"Tarch-ClassicBetaPvP-",0x511,0x80000000,0000000000000000,nil,0x80000000,0x80000000,402927,"Victory Rush",0x1,"Not yet recovered"
